code,platform,module,variant,level,description,en_implication,en_solution,zh_implication,zh_solution,de_implication,de_solution,fr_implication,fr_solution,it_implication,it_solution,ja_implication,ja_solution,es_implication,es_solution,cs_implication,cs_solution,ko_implication,ko_solution,sk_implication,sk_solution,pl_implication,pl_solution,nl_implication,nl_solution,da_implication,da_solution,sr_implication,sr_solution,sv_implication,sv_solution,sl_implication,sl_solution,pt_implication,pt_solution,hu_implication,hu_solution,hr_implication,hr_solution,no_implication,no_solution,fi_implication,fi_solution,ro_implication,ro_solution,bg_implication,bg_solution,et_implication,et_solution,lv_implication,lv_solution,lt_implication,lt_solution
1032,3,mcu,STATE_1032,1,机器打滑,The robot slipped,Please move the robot to a different location and try again,机器打滑,请将机器移至其他位置启动,Der Roboter ist weggerutscht,Bitte bringen Sie den Roboter an eine andere Stelle und versuchen Sie es erneut,Le robot a glissé,Veuillez déplacer le robot vers un autre endroit et réessayez,Il robot è scivolato,Spostarlo in un'altra zona e riprovare,,,El robot se ha resbalado,Mueva el robot a otro lugar e inténtelo de nuevo,Robot sklouzl,Přesuňte robot na jiné místo a zkuste to znovu,,,Robot sa zošmykol,Premiestnite robota na iné miesto a skúste to znova,Robot się poślizgnął,Przenieś robota w inne miejsce i spróbuj ponownie,De robot gleed uit,Verplaats de robot naar een andere locatie en probeer opnieuw,Robotten gled,"Flyt robotten til et andet sted, og prøv igen",,,Roboten tappade greppet,Flytta roboten till en annan plats och försök igen,Robot je zdrsnil,"Prosimo, premaknite robota na drugo lokacijo in poskusite znova",O robô escorregou,Desloque o robô para um local diferente e tente novamente,A robot megcsúszott,"Kérjük, helyezze át a robotot egy másik helyre, és próbálja meg újra",Robot se poskliznuo,Pomaknite robota na drugu lokaciju i pokušajte ponovno,Roboten skled,Flytt roboten til et annet sted og prøv igjen,Robotti liukastui,Siirrä robotti toiseen paikkaan ja yritä uudelleen,Robotul a alunecat,Vă rugăm să mutați robotul într-o altă locație și să încercați din nou,Роботът буксува,Преместете робота на друго място и опитайте отново,Robot libises,Viige robot teise kohta ja proovige uuesti,Robots paslīdēja,"Lūdzu, pārvietojiet robotu uz citu atrašanās vietu un mēģiniet vēlreiz",Robotas paslydo,Perkelkite robotą į kitą vietą ir bandykite dar kartą
1033,3,mcu,STATE_1033,1,Robot未找到草坪区域,No lawns detected,Please move the robot to the charging station or place it within the lawn and try again,Robot未找到草坪区域,请将Robot移动到充电桩上或草坪区域启动,Keine Rasenflächen erkannt,Bitte bringen Sie den Roboter zur Ladestation oder setzen Sie ihn auf den Rasen und versuchen Sie es erneut,Aucune pelouse détectée,Déplacez le robot vers la station de charge ou placez-le dans la pelouse et réessayez,Nessun prato rilevato,Portare il robot nella stazione di ricarica o posizionarlo sul prato e riprovare,,,No se ha detectado césped,Mueva el robot a la estación de carga o colóquelo dentro del césped y vuelva a intentarlo,Nebyl detekován trávník,Přesuňte robot do nabíjecí stanice nebo ho umístěte na trávník a zkuste to znovu,,,Nebol zistený žiadny trávnik,Premiestnite robota do nabíjacej stanice alebo ho položte do obvodu trávnika a skúste to znova,Nie wykryto trawników,Przenieś robota do stacji ładującej lub umieść go na trawniku i spróbuj ponownie,Geen gazons gevonden,Verplaats de robot naar het laadstation of plaats hem binnen het gazon en probeer opnieuw,Der blev ingen plæne registreret,"Flyt robotten til opladningsstationen, eller placér den på plænen, og prøv igen",,,Inget gräs detekterat,Flytta roboten till laddstationen eller placera den på gräsmattan och försök igen,Ni zaznanih trat,"Prosimo, premaknite robota na polnilno postajo ali ga postavite na zelenico in poskusite znova",Nenhum relvado detetado,Desloque o robô para a estação de carregamento ou coloque-o no relvado e tente novamente,Nincs észlelve gyep,"Kérjük, vigye a robotot a töltőállomásra, vagy helyezze a gyepre, és próbálja meg újra",Nema otkrivenih travnjaka,Pomaknite robota na stanicu za punjenje ili ga postavite unutar travnjaka i pokušajte ponovno,Ingen plener detektert,Flytt roboten til ladestasjonen eller plasser den innenfor plenen og prøv igjen,Nurmikoita ei tunnistettu,Siirrä robotti latausasemaan tai aseta se nurmikolle ja yritä uudelleen,Fără peluze detectate,Vă rugăm să mutați robotul la stația de încărcare sau să îl plasați în interiorul peluzei și să încercați din nou,Не са отчетени тревни площи,Преместете робота в станцията за зареждане или го поставете в тревната площ и опитайте отново,Muru ei tuvastatud,Pange robot laadimisjaama või asetage see muru sisse ja proovige uuesti,Nav konstatēts neviens zāliens,"Lūdzu, pārvietojiet robotu uz uzlādes staciju vai novietojiet to zālienā un mēģiniet vēlreiz",Vejų neaptikta,Perkelkite robotą į įkrovimo stotelę arba padėkite jį vejoje ir bandykite dar kartą
1034,3,navigation,STATE_1034,1,进入夜间后启动任务失败,Task failed to start at night,"To start the task at night, please disable the WildGuard feature",进入夜间后启动任务失败,如需开启割草任务，请将WildGuard选项设置为Off,Aufgabe bei Nacht starten fehlgeschlagen,"Um die Aufgabe nachts zu starten, deaktivieren Sie bitte die WildGuard-Funktion",La tâche ne démarre pas pendant la nuit,"Pour lancer la tâche la nuit, veuillez désactiver la fonction WildGuard",Impossibile avviare l’operazione durante la notte,"Per avviare l'operazione durante la notte, disattivare la funzione WildGuard",,,Error al iniciar la tarea por la noche,"Para iniciar la tarea por la noche, desactive la función WildGuard",Spuštění úlohy v noci se nezdařilo,"Chcete-li spustit úlohu v noci, zakažte funkci WildGuard",,,Nepodarilo sa spustiť úlohu v noci,"Ak chcete spustiť úlohu v noci, deaktivujte funkciu WildGuard",Zadanie nie zostało uruchomione w nocy,"Aby uruchamiać zadania w nocy, wyłącz funkcję WildGuard",Taak kon niet 's nachts worden gestart,"Om de taak 's nachts te starten, schakelt u de WildGuard-functie uit",Start af opgave om natten mislykkedes,Deaktivér funktionen WildGuard for at starte opgaven om natten,Nije uspelo pokretanje zadatka tokom noći,"Da biste pokrenuli zadatak tokom noći, onemogućite funkciju WildGuard",,Inaktivera WildGuard-funktionen för att starta uppgiften under natten,Naloge ponoči ni bilo mogoče zagnati,"Če želite nalogo zagnati ponoči, onemogočite funkcijo WildGuard",Falha ao iniciar a tarefa durante a noite,"Para iniciar a tarefa à noite, desative a função WildGuard",Éjszakai feladat nem lett végrehajtva,Éjszakai feladatok végrehajtásához kapcsolja ki a WildGuard funkciót,Zadatak se nije mogao pokrenuti noću,Za pokretanje zadatka noću onemogućite značajku WildGuard,Oppstart av oppgave om natten mislyktes,"For å starte oppgaven om natten, deaktiverer du WildGuard-funksjonen",Tehtävä ei käynnistynyt yöllä,"Jos haluat käynnistää tehtävän yöllä, poista WildGuard-ominaisuus käytöstä",Începerea sarcinii noaptea nu a reușit,"Pentru a începe sarcina noaptea, dezactivați caracteristica WildGuard",Неуспешно стартиране на задачата през нощта,"За да стартирате задачата през нощта, деактивирайте функцията WildGuard",Tööd ei õnnestunud öösel alustada,Öösel töötamiseks keelake funktsioon WildGuard,Neizdevās sākt uzdevumu naktī,"Lai sāktu uzdevumu naktī, atspējojiet WildGuard funkciju",Užduoties paleisti naktį nepavyko,"Norėdami pradėti užduotį naktį, išjunkite „WildGuard“ funkciją"
1035,3,navigation,STATE_1035,1,进入夜间后机器人暂停任务并回充,Robot will pause and return to the charging station after sunset,The robot will resume operation after sunrise,进入夜间后机器人暂停任务并回充,天亮后会自动恢复未完成任务,Der Roboter hält an und kehrt nach Sonnenuntergang zur Ladestation zurück,Der Roboter nimmt den Betrieb nach Sonnenaufgang wieder auf,Le robot se met en pause et retourne à la station de charge après le coucher du soleil,Le robot reprendra ses activités après le lever du soleil,Il robot entrerà in pausa e tornerà alla stazione di ricarica dopo il tramonto,Il robot riprenderà l’operazione dopo l’alba,,,El robot se detendrá y volverá a la estación de carga después de la puesta de sol,El robot reanudará su funcionamiento después de la puesta de sol,Robot se po setmění pozastaví a vrátí do nabíjecí stanice,Robot obnoví po rozednění provoz,,,Po západe slnka robot urobí prestávku a vráti sa do nabíjacej stanice,Po východe slnka bude robot pokračovať v operácii,Robot wstrzyma pracę i powróci do stacji ładowania po zachodzie słońca,Robot wznowi pracę po wschodzie słońca,De robot pauzeert en keert na zonsondergang terug naar het laadstation,De robot zal na zonsopgang zijn werkzaamheden hervatten,Robotten stopper og vender tilbage til ladestationen efter solnedgang,Robotten fortsætter efter solopgang,Robot će pauzirati rad i vratiti se na stanicu za punjenje nakon zalaska sunca,Robot će nastaviti sa radom nakon izlaska sunca,,Roboten återupptar driften efter soluppgången,Robot se bo po sončnem zahodu zaustavil in vrnil na polnilno postajo,Robot bo nadaljeval z delovanjem po sončnem vzhodu,O robô fará uma pausa e regressará à estação de carregamento após o pôr do sol,O robô retomará a operação após o nascer do sol,"A robot napnyugta után leáll, és visszatér a töltőállomásra",A robot napfelkelte után folytatja a feladatot,Robot će pauzirati rad i vratiti se na stanicu za punjenje nakon zalaska sunca,Robot će nastaviti rad nakon izlaska sunca,Roboten pauser og returnere til ladestasjonen etter solnedgang,Roboten gjenopptar arbeidet etter soloppgang,Robotti pysähtyy ja palaa latausasemaan auringonlaskun jälkeen,Robotti jatkaa toimintaa auringonnousun jälkeen,Robotul va lua o pauză și va reveni la stația de încărcare după asfințit,Robotul va relua funcționarea după răsărit,"Роботът ще спре за пауза и ще се върне в станцията за зареждате, след като слънцето залезе","Роботът ще възобнови работата си, след като слънцето изгрее",Pärast loojangut katkestab robot töö ja naaseb laadimisjaama,Robot jätkab tööd pärast päikesetõusu,Robots tiks pauzēts un atgriezīsies uzlādes stacijā pēc saulrieta,Robots atsāks darbību pēc saullēkta,Robotas pristabdys darbą ir grįš į įkrovimo stotelę po saulėlydžio,Robotas vėl pradės veikti po saulėtekio
1036,3,navigation,STATE_1036,1,进入夜间后机器人减速作业,The robot will work at reduced speed after sunset,The robot will return to the set task speed after sunrise,进入夜间后机器人减速作业,天亮后会自动恢复正常作业速度,Der Roboter arbeitet nach Sonnenuntergang mit reduzierter Geschwindigkeit,Der Roboter kehrt nach Sonnenaufgang zur eingestellten Aufgabengeschwindigkeit zurück,Le robot fonctionnera à vitesse réduite après le coucher du soleil,Le robot reviendra à la vitesse de consigne après le lever du soleil,Il robot lavorerà a velocità ridotta dopo il tramonto,Il robot riprenderà l’operazione impostata dopo l’alba,,,El robot trabajará a velocidad reducida después de la puesta de sol,El robot volverá a la velocidad establecida para la tarea después de la salida del sol,Robot bude po setmění pracovat se sníženou rychlostí,Po rozednění se robot vrátí k nastavené rychlosti úlohy,,,Po západe slnka bude robot pracovať so zníženou rýchlosťou,Po východe slnka sa robot vráti na nastavenú rýchlosť úlohy,Robot będzie pracował ze zmniejszoną prędkością po zachodzie słońca,Robot powróci do ustawionej prędkości zadania po wschodzie słońca,De robot zal na zonsondergang langzamer werken,De robot keert na zonsopgang terug naar de ingestelde taaksnelheid,Robotten arbejder med nedsat hastighed efter solnedgang,Robotten vender tilbage til den indstillede hastighed for opgaven efter solopgang,Robot će raditi smanjenom brzinom nakon zalaska sunca,Robot će se vratiti na podešenu brzinu zadatka nakon izlaska sunca,,Roboten återgår till den konfigurerade hastigheten för uppgiften efter soluppgången,Robot bo po sončnem zahodu deloval z zmanjšano hitrostjo,Robot bo po sončnem vzhodu nadaljeval z nastavljeno hitrostjo naloge,O robô trabalhará a uma velocidade reduzida após o pôr do sol,O robô voltará à velocidade de trabalho definida após o nascer do sol,A robot napnyugta után csökkentett sebességgel fog dolgozni,A robot napfelkelte után visszatér a beállított sebességre,Robot će nakon zalaska sunca raditi smanjenom brzinom,Nakon izlaska sunca robot će se vratiti na postavljenu brzinu zadatka,Roboten arbeide med redusert hastighet etter solnedgang,Roboten gjenopptar den innstilte oppgavehastigheten etter soloppgang,Robotti toimii pienemmällä nopeudella auringonlaskun jälkeen,Robotti palaa asetettuun tehtävänopeuteen auringonnousun jälkeen,Robotul va lucra la viteză redusă după asfințit,Robotul va reveni la viteza setată a sarcinii după răsărit,"Роботът ще работи с намалена скорост, след като слънцето залезе","Роботът ще се върне към зададената за задачата скорост, след като слънцето изгрее",Pärast loojangut töötab robot tavalisest aeglasemalt,Roboti tavaline töökoorus taastub pärast päikesetõusu,Robots strādās ar samazinātu ātrumu pēc saulrieta,Robots atgriezīsies pie iestatītā uzdevuma ātruma pēc saullēkta,Robotas po saulėlydžio dirbs sumažintu greičiu,Robotas grįš į nustatytą užduoties greitį po saulėtekio
1068,3,common,STATE_1068,1,检测到相机镜头出现脏污,The vision camera is dirty,Please check and clean the vision camera,检测到相机镜头出现脏污,检查相机镜头，保持相机镜头整洁,Die Visionkamera ist schmutzig,Bitte überprüfen und reinigen Sie die Vision-Kamera,La caméra de vision est sale,Veuillez vérifier et nettoyer la caméra de vision,La telecamera di visione è sporca,Si prega di controllare e pulire la telecamera di visione,,,La cámara de visión está sucia,"Por favor, compruebe y limpie la cámara de visión",Vizní kamera je špinavá,"Prosím, zkontrolujte a vyčistěte kameru zrakového systému",,,Vízna kamera je špinavá,"Prosím, skontrolujte a vyčistite kameru videnia",Kamera wizyjna jest brudna,Proszę sprawdzić i wyczyścić kamerę wizyjną,Vuile cameralens gedetecteerd,Controleer de cameralens en houd de cameralens netjes,Vision-kameraet er snavset,Kontroller og rengør visionskameraet,,,Synkameran är smutsig,Kontrollera och rengör visionkameran,Zaznana umazana leča kamere,Preverite objektiv kamere in obdržite lečo urejeno.,,,,,,,,,,,,,,,,,,,,
1100,3,navigation,STATE_1100,1,Robot不在作业区域内或处于禁区内,The robot is out of a task area or is inside a no-go zone,Please ensure the robot is into a task area or on the charging station before starting a task,Robot不在作业区域内或处于禁区内,在开始作业前请确保Robot位于作业区域内或充电桩上,Roboter befindet sich nicht im Arbeitsbereich oder innerhalb eines Hindernisses,"Stellen Sie sicher, dass sich Roboter im Arbeitsbereich oder auf dem Ladestapel befindet, bevor Sie die Arbeit starten",Robot n’est pas dans la zone de travail ou est obstrué.,Assurez-vous que robot se trouve dans la zone de travail ou sur la station de charge avant de commencer la tâche.,Robot non è nell’area di lavoro o ostruito,Assicurarsi che robot si trovi nell’area di lavoro o nella postazione di ricarica prima di iniziare il lavoro,,,Robot no está en el área de trabajo o está dentro de una obstrucción,Asegúrese de que el robot esté en el área de trabajo o en la base de carga antes de empezar a funcionar,Robot je mimo oblast sečení nebo je v no-go zóně,"Před zahájením sekání se ujistěte, že je robot v oblasti sečení nebo v nabíjecí základně",,,Robot je mimo oblasti kosenia alebo je v no-Go zóne,"Pred zahájením kosenia sa uistite, že je robot v oblasti kosenia alebo v nabíjacej základni",Robot jest poza obszarem zadania lub znajduje się w strefie zakazu,"Przed rozpoczęciem pracy upewnij się, że robot znajduje się w obszarze zadania lub na stacji ładującej",Robot is buiten het taakgebied of bevindt zich in de verboden zone,Zorg ervoor dat robot zich in de werkruimte of op het laadstation bevindt voordat u met de taak begint.,Robotten er ude af opgaveområdet eller er inde i en no-go zone,"Sørg for, at robotten er i opgaveområdet eller på ladestationen, når du starter en opgave",,,Roboten är utanför arbetsområdet eller är inne i en no-go-zon,Se till att roboten är i arbetsområdet eller på laddstationen när du startar en klippning,Robot je zunaj območja naloge ali je na območju prepovedi vstopa,"Zagotovite, da je naprava robot v območju za izvajanje nalog ali na polnilni postaji, ko začnete izvajati nalogo.",,,,,,,,,,,,,,,,,,,,
1101,3,navigation,STATE_1101,1,充电桩与作业区域间缺少连通路径,There is no channel between the charging area and a task area,Please add a channel between the charging area and a task area,充电桩与作业区域间缺少连通路径,请建立充电区至作业区域的连通路径,Fehlender Verbindungsweg zwischen Ladestapel und Arbeitsbereich,Bitte stellen Sie einen Verbindungsweg vom Ladestapel zum Arbeitsbereich her,Absence de canal de connexion entre la station de charge et la zone de travail,Veuillez établir un canal de connexion entre la station de charge et la zone de travail.,Mancanza di percorso di connessione tra la postazione di ricarica e l’area di lavoro,Stabilire un percorso di connessione dalla postazione di ricarica all’area di lavoro,,,Falta de ruta de conexión entre la base de carga y el área de trabajo,Establezca una ruta de conexión desde la base de carga hasta el área de trabajo,Chybí propojovací cesta mezi nabíjecí základnou a oblastí sečení,Vytvořte propojovací cestu z nabíjecí základny do oblasti sečení,,,Chýba prepojovacia cesta medzi nabíjacou základňou a oblasťou kosenia,Vytvorte spojovaciu cestu z nabíjacej základne do oblasti kosenia,"Brak ścieżki połączenia między stacją ładującą, a obszarem zadań, proszę utworzyć ścieżkę połączenia",Proszę utworzyć ścieżkę połączenia ze stacji ładującej do obszaru zadań,Geen verbindingskanaal gevonden tussen het laadstation en het taakgebied,Breng een verbindingskanaal tot stand tussen het laadstation en het werkgebied.,Der er ingen vej mellem ladeområdet og opgaveområdet,Tilføj en vej mellem opladningsområdet og opgaveområdet,,,Det finns ingen väg mellan laddningsområdet och aktivitetsområdet,Lägg till en väg  mellan laddstationens området och klippområdet,Med območjem polnjenja in območjem opravil ni poti,"Prosimo, da med območjem za polnjenje in območjem za naloge dodate pot",,,,,,,,,,,,,,,,,,,,
1102,3,navigation,STATE_1102,1,作业区域间缺少连通路径,There is no channel between the task areas,Please add a channel,作业区域间缺少连通路径,请建立连通路径,Verbindungsweg zwischen Arbeitsbereichen nicht vorhanden,Bitte stellen Sie einen Verbindungsweg her,Le chemin de connexion est manquant entre les zones de travail.,Veuillez établir un canal de connexion.,Percorso di connessione mancante tra aree di lavoro,Stabilire un percorso di connessione,,,Falta la ruta de conexión entre las áreas de trabajo,Establezca una ruta de conexión,Chybí propojovací cesta mezi oblastmi sečení,Vytvořte propojovací cestu,,,Chýba prepojovacia cesta medzi oblasťami kosenia,Vytvorte prepojovaciu cestu,Brak ścieżki połączenia między obszarami zadań,Utwórz ścieżkę połączenia,Geen verbindingskanaal gevonden tussen de taakgebieden,Breng een verbindingskanaal tot stand.,Der er ingen vej mellem opgaveområderne,Tilføj en vej,,,Det finns ingen väg mellan klippområdena,Lägg till en väg,Med območji nalog ni poti,Dodajte pot,,,,,,,,,,,,,,,,,,,,
1103,3,navigation,STATE_1103,1,离起点太远，无法手动闭合,Too far from the starting point,Follow the guidelines to control the robot to the start point,离起点太远，无法手动闭合,请跟随指引控制Robot至起始点附近,Zum manuellen schließen zu weit vom Startpunkt entfernt,"Befolgen Sie die Anweisungen, um den Roboter in die Nähe des Ausgangspunkts zu steuern",Trop loin du point de départ pour se fermer manuellement,Suivez les directives pour contrôler le robot jusqu’au point de départ.,Troppo lontano dal punto iniziale per la chiusura manuale,Seguire le linee guida per controllare robot in prossimità del punto di partenza,,,Demasiado lejos del punto de inicio para cerrar manualmente,Siga las directrices para controlar robot hasta cerca del punto de partida,Příliš daleko od počátečního bodu,Postupujte podle pokynů a ovládejte robot do výchozího bodu,,,Príliš ďaleko od počiatočného bodu,Postupujte podľa pokynov a ovládajte robot do východiskového bodu,"Zbyt daleko od punktu początkowego, aby zakończyć planowanie, proszę zbliżać się do punktu początkowego","Postępuj zgodnie ze wskazówkami, aby sterować robot w pobliże punktu startowego",Te ver van het beginpunt om handmatig te sluiten,Volg de aanwijzingen om de robot naar het startpunt te besturen.,For langt fra udgangspunktet,Følg retningslinjerne for at styre robotten til startpunktet,,,För långt från utgångspunkten,Följ riktlinjerna för att styra roboten till startpunkten,Je predaleč od začetne točke,Sledite navodilom in nadzorujte robot do začetne točke.,,,,,,,,,,,,,,,,,,,,
1104,3,navigation,STATE_1104,1,充电桩在禁区内,Charging station is located inside a no-go zone,Please ensure that the charging area is not overlapping with the no-go zone,充电桩在禁区内,请确保充电区不与禁区相交,Ladestapel befindet sich innerhalb eines Hindernisses,"Stellen Sie sicher, dass sich der Ladestapel nicht innerhalb eines Hindernisses befindet",La station de charge est dans une no-go zone,Assurez-vous que la station de charge n’est pas dans une no-go zone.,La postazione di ricarica è ostruita,Assicurarsi che la postazione di ricarica non sia ostruita,,,La base de carga tiene una obstrucción,Asegúrese de que la base de carga no esté dentro de la obstrucción,Nabíjecí základna je v no-go zóně,"Ujistěte se, že se nabíjecí oblast nepřekrývá s no-go zónou",,,Nabíjacia základňa je v no-go zóne,"Uistite sa, že sa nabíjacia oblasť neprekrýva s no-go zónou","Stacja ładująca znajduje się w strefie zakazanej, zmień miejsce stacji ładującej lub strefę zakazaną","Stacja ładująca znajduje się w strefie zakaznej, zmień miejsce stacji ładującej lub strefę zakazaną",Laadstation ligt in een no-go zone,Zorg ervoor dat het laadstation zich niet in een no-go zone bevindt.,Ladestationen er placeret inden for en no-go zone,"Sørg for, at opladningsområdet ikke overlapper no-go-zonen",,,Laddstationen är placerad i en no-go-zon,Se till att laddningsområdet inte överlappar med no-go-zonen,Polnilna postaja se nahaja znotraj območja prepovedi dostopa,"Poskrbite, da se območje polnjenja ne prekriva z območjem prepovedi vstopa",,,,,,,,,,,,,,,,,,,,
1105,3,navigation,STATE_1105,1,充电桩前方无法通行,No access ahead of the charging station,"Please move the charging station to a suitable location, ensuring that there are no No-go zones, obstacles, and no slipping hazards ahead of it",充电桩前方无法通行,请将充电桩移至合适位置，确保充电桩前方无禁区、无障碍物，无发生打滑,Keine Durchfahrt vor der Ladestation möglich,"Bitte verschieben Sie die Ladestation an einen geeigneten Ort, um sicherzustellen, dass sich vor der Ladestation keine No-go-Zonen, Hindernisse und Rutschgefahren befinden",Pas de passage possible devant la borne de recharge,"Veuillez déplacer la borne de recharge à un emplacement approprié, en veillant à ce qu'il n'y ait aucune zone d'interdiction, aucun obstacle et aucun risque de glissement devant celle-ci",Non è possibile passare davanti alla stazione di ricarica,"Si prega di spostare la stazione di ricarica in una posizione adatta, assicurandosi che non ci siano zone vietate (No-go zone), ostacoli e pericoli di scivolamento di fronte ad essa",,,No hay acceso adelante de la estación de carga,"Por favor, mueva la estación de carga a una ubicación adecuada, asegurándose de que no haya zonas prohibidas (No-go zone), obstáculos y sin riesgo de resbalones delante de ella",Před nabíjecí stanicí není možný průjezd,"Prosím přesuňte nabíjecí stanici na vhodné místo a ujistěte se, že před ní není žádná No-go zóna, žádná překážka a že nehrozí riziko uklouznutí",,,Pred dobíjacou stanicou nie je možné prejsť,"Prosím presuňte dobíjaciu stanicu na vhodné miesto a uistite sa, že pred ňou nie je žiadna No-go zóna, žiadna prekážka a že nehrozí riziko šmyku",Przed stacją ładowania nie ma możliwości przejazdu,"Proszę przenieść stację ładowania w odpowiednie miejsce, upewniając się, że nie ma żadnych obszarów zakazanych (No-go zone), przeszkód i nie ma ryzyka poślizgnięcia się przed nią",Geen doorgang mogelijk voor de laadpaal,"Verplaats de laadpaal naar een geschikte positie om ervoor te zorgen dat er geen beperkte gebieden, obstakels en slippen voor de oplaadstapel zijn.",Ingen adgang foran ladestationen,"Flyt opladningsbunken til en passende position for at sikre, at der ikke er begrænsede områder, forhindringer og glidning foran opladning bunken.",,,Ingen passage framför laddningsstationen,"Flytta laddningshögen till en lämplig position för att säkerställa att det inte finns några begränsade områden, hinder och slidding framför laddningshögen.",Ni mogoče nadaljevati pred polnilno postajo,"Prosimo, premaknite polnilni kup na primeren položaj, da zagotovite, da ni omejenih območij, ovire in odstranjevanje pred polnilnim kupom.",,,,,,,,,,,,,,,,,,,,
1106,3,navigation,STATE_1106,1,缺少作业区域，无法作业,Unable to start task due to no task area,Please map a task area,缺少作业区域，无法作业,请创建作业区域,"Arbeit kann nicht ausgeführt werden, da kein Arbeitsbereich vorhanden ist",Bitte erstellen Sie einen Arbeitsbereich,Impossible de travailler en raison d’un manque de zone de travail,Veuillez créer une zone de travail.,Impossibile lavorare a causa della mancanza di area di lavoro,Creare un’area di lavoro,,,No se puede trabajar debido a la falta de área de trabajo,Cree un área de trabajo,"Úkol nelze spustit, protože neexistuje oblast sečení",Vytvořte oblast sečení,,,"Úlohu nemožno spustiť, pretože neexistuje oblasť kosenia",Vytvorte oblasť kosenia,"Brak obszaru zadań, utwórz co najmniej 1 obszar zadań na mapie zadań.",Utwórz obszar zadań,Kan deze taak niet uitvoeren vanwege een ontbrekend taakgebied,Creëer een werkruimte.,Opgaven kunne ikke startes på grund af intet opgaveområde,Tilknyt et opgaveområde,,,Det gick inte att starta klippningenen på grund av att det saknas klippningensområde,Kartlägg ett klippningsområde,Naloge ni mogoče začeti zaradi odsotnosti območja za naloge,Začrtajte območje nalog,,,,,,,,,,,,,,,,,,,,
1107,3,navigation,STATE_1107,1,作业区域面积过小,The task area is too small (〈5 square meters),Please remap,作业区域面积过小,请重新绘制,Arbeitsbereich ist zu klein,Bitte neu zeichnen,La zone de travail est trop petite.,Veuillez redessiner.,L’area di lavoro è troppo piccola,Ridisegnarla,,,El área de trabajo es demasiado pequeña,Vuelva a dibujar,Oblast sečení je příliš malá (〈5m2),Prosím překreslete,,,Oblasť kosenia je príliš malá (〈5m2),Prosím prekreslite,Obszar zadania jest za mały (〈5m2),Proszę przerysować,Taakgebied is te klein,Gelieve opnieuw te tekenen.,Opgaveområdet er for lille (〈5 kvadratmeter),Lav venligst et nyt kort,,,Klippningsområdet är för litet (〈5 kvadratmeter),Vänligen mappa om,Območje za naloge je premajhno (〈5m2),Ponovno označite,,,,,,,,,,,,,,,,,,,,
1108,3,navigation,STATE_1108,1,作业区域面积过小,The task area is too small (〈5 square meters),Please remap the task area,作业区域面积过小,请重新绘制作业区域,Arbeitsbereich ist zu klein,Bitte zeichnen Sie den Arbeitsbereich neu,La zone de travail est trop petite.,Veuillez redessiner la zone de travail.,L’area di lavoro è troppo piccola,Ridisegnare l’area di lavoro,,,El área de trabajo es demasiado pequeña,Vuelva a dibujar el área de trabajo,Oblast sečení je příliš malá (〈5m2),Překreslete oblast sečení,,,Oblasť kosenia je príliš malá (〈5m2),Prekreslite oblasť kosenia,Obszar zadania jest za mały (〈5m2),Proszę odtworzyć obszar zadań,Taakgebied is te klein,Teken het werkgebied opnieuw.,Opgaveområdet er for lille (〈5 kvadratmeter),Lav venligst opgaveområdet,,,Klippningsområdet är för litet (〈5 kvadratmeter),Vänligen mappa om klippningsområdet,Območje naloge je premajhno (〈5m2),Ponovno označite območje nalog,,,,,,,,,,,,,,,,,,,,
1109,3,navigation,STATE_1109,1,作业区域面积超过最大限制,The task area is too large,Please plan the size of the task area appropriately,作业区域面积超过最大限制,请合理规划作业区域面积,Arbeitsbereich überschreitet Höchstgrenze,Bitte planen Sie die Größe des Arbeitsbereichs angemessen,La zone de travail dépasse la limite maximale.,Veuillez planifier la taille de la zone de travail de manière appropriée.,L’area di lavoro supera il limite massimo,Pianificare le dimensioni dell’area di lavoro in modo appropriato,,,El área de trabajo supera el límite máximo,Planifique adecuadamente el tamaño del área de trabajo,Oblast sečení překračuje maximální limit,Naplánujte si vhodně velikost oblasti sečení,,,Oblasť kosenia prekračuje maximálny limit,Naplánujte si vhodne veľkosť oblasti kosenia,Obszar zadania przekracza maksymalny limit,Prosimy o odpowiednie zaplanowanie wielkości obszaru zadań,Taakgebied overschrijdt maximumlimiet,Plan de grootte van het werkgebied op de juiste manier.,Opgaveområdet er for stort,Planlæg størrelsen på opgaveområdet korrekt,,,Klippningsområdet är för stort,Planera storleken på klippningsområdet på lämpligt sätt,Območje za opravljanje nalog je preveliko,Ustrezno načrtujte velikost območja nalog,,,,,,,,,,,,,,,,,,,,
